case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?"
TNL-10206-18,11/21/2020 19:31:29,debbie mosaheb,Toronto,0,1,0,1,0,1,No relief,48,2000.00,2000.00,0,6000.00,3,0,1,1
TNL-10272-18,11/21/2020 20:05:51,debbie mosaheb,Toronto,1,0,0,1,0,0,No relief,42,1868.10,1868.10,0,7447.40,4,0,0,1
CEL-73963-18-RV,11/21/2020 20:34:14,karen wallace,Mississauga,0,1,0,1,0,0,Payment plan,34,1990.00,1365.9816966067863,1,4777.00,5,1,0,0
CEL-73985-18,11/21/2020 20:50:40,david mungovan,Mississauga,0,1,0,1,0,0,No relief,15,650.00,500.00,0,1300.00,2,0,0,0
CEL-74056-18,11/21/2020 21:09:18,avril cardoso,Mississauga,0,1,0,1,0,0,No relief,6.5,1756.50,1750.00,0,7382.50,5,0,0,0
TEL-87330-18,1/28/2021 20:19:35,shelby whittick,Toronto,1,1,0,1,0,0,No relief,59,1595.9445741324917,1300,0,5640,4,0,0,0
TEL-87339-18,1/28/2021 20:21:19,ruth carey,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1447.52,0,333.55,4,1,0,0
CEL-90549-19,11/22/2020 19:45:48,shelby whittick,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,2100.00,2100.00,0,10500.00,6,0,0,0
CEL-64556-17-RV,12/27/2020 20:14:47,karen wallace,Mississauga,0,1,0,1,0,0,No relief,27,650.00,650.00,0,4730.00,9,1,0,0
CEL-64707-17,1/6/2021 12:23:35,tiisetso russell,Mississauga,0,1,0,1,0,0,No relief,6.306049004594181,700.00,1365.9816966067863,0,2800.00,4,1,0,0
TNL-95328-17,11/23/2020 20:37:29,egya sangmuah,Toronto,1,0,1,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1008.86,0,2066.27,6.306049004594181,1,0,0
TNL-95937-17,11/23/2020 20:47:34,dale whitmore,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1111.80,0,1110.39,9,1,0,1
TNL-99287-17,11/24/2020 8:14:05,neil kaufman,Toronto,1,1,1,1,0,0,"No eviction granted, payment plan merely involved paying rent on time ",468,980.00,1365.9816966067863,0,0.00,16,1,0,0
SWL-16867-18,11/26/2020 12:26:53,kevin lundy,London,0,1,0,0,0,0,No relief,6.306049004594181,900.00,900.00,0,1700.00,9,1,0,0
SWL-16931-18,11/26/2020 12:38:24,carol mcdermott,London,0,0,0,0,0,0,No relief,6.306049004594181,1065.75,1050.00,0,1827.25,4,1,0,0
SWL-17141-18,11/26/2020 12:52:49,melanie love,London,0,1,0,1,0,0,Postponement of eviction,32,925.00,1365.9816966067863,0,3000.00,6.306049004594181,0,1,0
SWL-17145-18,11/26/2020 13:24:29,melanie love,Waterloo,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,500.00,1365.9816966067863,0,3500.00,7,0,0,0
SWL-17145-18,11/26/2020 13:29:30,melanie love,Waterloo,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,500.00,1365.9816966067863,0,3413.68,7,0,0,0
 SWL-17348-18,11/26/2020 13:40:11,kevin lundy,London,1,0,0,0,0,0,No relief,6.306049004594181,869.49,854.57,0,1073.61,3,1,0,0
SWL-17590-18,11/26/2020 13:49:26,carol mcdermott,London,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,761.00,750.00,0,1715.00,4,1,0,0
TEL-89487-18,1/14/2021 14:35:46,shelby whittick,Toronto,1,0,0,0,0,0,No relief,151.5,1595.9445741324917,1073.74,0,3221.06,3,0,1,0
TNL-99830-17,11/27/2020 20:53:20,sylvia watson,Toronto,1,0,0,1,0,0,No relief,72,1595.9445741324917,1536.91,0,3080.73,3,0,1,0
TNL-99928-17,11/27/2020 21:03:21,neil kaufman,Newmarket,0,1,0,1,0,0,Postponement of eviction,84,1595.9445741324917,1000.00,0,8500.00,10,1,1,0
TNT-05236-18,11/27/2020 21:38:24,harry cho,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1300.00,0,2652.54,3,1,0,1
TSL-00273-18,11/27/2020 21:53:14,david lee,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,700.00,1365.9816966067863,0,2100.00,3,0,0,0
CEL-74078-18-RV,11/30/2020 14:10:45,karen wallace,Mississauga,1,0,0,1,0,0,No relief,108,800.00,1365.9816966067863,0,20800.00,26,0,0,0
CEL-74519-18,11/30/2020 14:26:41,david mungovan,Mississauga,0,1,1,1,0,0,Postponement of eviction,16,1595.9445741324917,1365.9816966067863,0,0.00,0,0,0,0
CEL-74645-18,11/30/2020 21:42:21,lisa del vecchio,Barrie,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,2000.00,1365.9816966067863,0,6000.00,3,0,0,0
CEL-75210-18,11/30/2020 21:57:50,avril cardoso,Mississauga,1,0,0,1,0,0,Postponement of eviction,8,1200.00,1200.00,0,9600.00,5.25,0,0,0
CEL-75340-18,11/30/2020 22:22:25,avril cardoso,Mississauga,0,1,0,1,0,0,"Other: Standard eviction order but if arrears are paid, tenant can stay as long as all future payments for 1 year are paid on time (subject to s. 78)",31,1100.00,1100.00,0,2320.00,2,0,0,0
CEL-75636-18,12/1/2020 15:43:40,alex brkic,Mississauga,1,1,0,0,0,0,No relief,24,1595.9445741324917,725.00,0,1120.00,4,1,0,0
CEL-76112-18-RV,12/1/2020 15:57:05,karen wallace,Mississauga,0,1,0,1,0,1,Postponement of eviction,13,2400.00,2400.00,1,1643.20,5,1,0,0
SWL-17723-18,12/2/2020 20:24:29,carol mcdermott,London,1,0,0,0,0,0,No relief,6.306049004594181,1450.00,1450.00,0,2900.00,2,1,0,0
SWL-18289-18,12/2/2020 20:35:06,carol mcdermott,Windsor,1,0,0,1,0,0,Postponement of eviction,6.306049004594181,900.00,1365.9816966067863,0,3775.00,5,1,1,0
SWL-18712-18,12/2/2020 20:47:37,melanie love,London,1,0,0,0,0,0,No relief,10,2100.00,2100.00,0,2750.00,2,0,0,0
SWL-19968-18-SA,1/6/2021 10:20:48,kevin lundy,Stratford,1,1,0,1,0,0,No relief,6.306049004594181,900.00,900.00,0,2700.00,4,0,0,0
SWL-20248-18   ,12/2/2020 21:16:55,nathan ferguson,London,1,0,0,1,0,0,Payment plan,120,453.00,355.00,0,445.00,7,1,0,0
TEL-01781-19,12/2/2020 22:57:56,sonia anwar-ali,Toronto,1,0,0,1,0,1,Payment of current and past month by 20th of the current month; payment of rent on time for a year,108,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,1,1
SWL-20341-18,12/3/2020 20:36:02,kevin lundy,Woodstock,1,0,0,0,0,0,No relief,6.306049004594181,500.00,1365.9816966067863,0,1338.29,4,0,0,0
SWL-21921-18,12/3/2020 20:57:07,jitewa edu,London,0,1,0,1,0,0,No relief,6.306049004594181,710.00,710.00,0,1130.26,2,1,0,0
TEL-80518-17-RV,12/3/2020 21:04:18,laura hartslief,Whitby,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,1600.00,1365.9816966067863,0,33600.00,13,0,0,0
TEL-81897-17,12/3/2020 21:16:57,laura hartslief,Toronto,1,1,1,1,0,0,No relief,6.306049004594181,512.50,1365.9816966067863,0,15375.00,27,0,0,0
TEL-81898-17,12/5/2020 0:28:16,laura hartslief,Lindsay,1,1,0,1,0,0,No relief,6.306049004594181,512.5,1365.9816966067863,0,15375.00,27,0,0,0
TEL-81899-17,12/5/2020 0:38:10,laura hartslief,Lindsay,1,1,0,1,0,0,No relief,6.306049004594181,512.50,1365.9816966067863,0,15375.00,27,0,0,0
TEL-84192-17,12/5/2020 0:46:05,gobinder randhawa,Toronto,1,0,0,1,0,0,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,818.99,3,1,0,0
TEL-84647-17,12/7/2020 19:41:28,jim mcmaster,Toronto,1,1,0,1,0,0,Payment plan,15,2500.00,1365.9816966067863,0,7700.00,10,1,0,0
TEL-84691-17-RV,12/7/2020 20:00:24,shelby whittick,Belleville,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,2063.00,9,1,0,0
TEL-85031-17,12/7/2020 20:08:46,shelby whittick,Toronto,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,9020.00,7,0,0,0
TEL-85218-17,12/7/2020 20:46:08,shelby whittick,Toronto,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1800.00,0,9646.31,7,1,0,0
TEL-85406-17   ,12/7/2020 20:59:44,shelby whittick,Whitby,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,695.00,0,2192.40,5,1,0,0
TEL-85406-17,12/8/2020 20:00:08,shelby whittick,Whitby,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,695.00,0,2192.40,5,1,0,0
TEL-85465-17-RV,12/8/2020 20:21:29,ruth carey,Belleville,0,1,0,1,0,0,Postponement of eviction,9,750.00,750.00,0,3750.00,4,0,0,0
TEL-85893-17,12/8/2020 20:41:36,shelby whittick,Whitby,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1000.00,0,6000.00,6,0,0,0
TEL-86027-17,12/8/2020 20:48:05,shelby whittick,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,550.00,0,2683.48,4,0,0,0
CEL-76171-18,12/18/2020 21:29:13,alex brkic,Mississauga,1,1,0,1,0,0,Postponement of eviction,8,1290.00,1290.00,0,3870.00,3,0,0,0
CEL-76435-18,12/18/2020 21:35:00,avril cardoso,Mississauga,0,1,0,0,0,0,No relief,66,1550.00,1550.00,0,18600.00,11,0,0,0
CEL-77001-18,12/18/2020 21:53:59,alex brkic,Mississauga,1,1,1,1,0,0,Postponement of eviction,30,1600.00,1600.00,1,1600.00,4,1,0,0
CEL-77276-18,12/20/2020 14:25:47,alex brkic,Mississauga,0,1,0,0,0,0,No relief,4,1400.00,1400.00,0,4345.87,3,0,0,0
CEL-77276-18,1/4/2021 12:05:21,alex brkic,Mississauga,0,1,0,0,0,0,No relief,4,1400.00,1400.00,0,4345.87,3,0,0,0
CEL-77282-18-RV,12/20/2020 14:35:33,renee lang,Toronto,0,1,0,1,0,0,No relief,20,1780.00,1750.00,0,9730.00,6,0,0,0
CEL-77291-18,12/20/2020 14:49:49,jitewa edu,Mississauga,1,0,1,0,0,0,Payment plan,6.306049004594181,2500.00,1365.9816966067863,0,10000.00,6,1,0,0
CEL-77313-18,12/22/2020 11:14:43,jitewa edu,Mississauga,1,1,0,1,0,0,Payment plan,6.306049004594181,3200.00,1365.9816966067863,0,4400.00,2,0,0,0
CEL-77387-18,12/22/2020 11:26:09,lisa del vecchio,Mississauga,1,0,0,1,0,0,Postponement of eviction,7,1600.00,1600.00,0,6082.00,4,0,0,0
CEL-77588-18,12/22/2020 11:39:22,karen wallace,Mississauga,1,1,1,1,0,0,Postponement of eviction but conditioned on the fact that all rent is paid on time for one year period,15,2350.00,2350.00,0,2350.00,1,0,0,0
CEL-77598-18,12/22/2020 11:50:28,roderick flynn,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,12819.98,7,0,0,0
TSL-81051-17,12/22/2020 17:40:04,renee lang,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1104.50,1019.45,0,4767.67,12,1,0,0
TSL-81884-17,12/22/2020 17:52:39,jean-paul pilon,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,998.00,0,823.02,22,1,0,1
TSL-82628-17-RV-HR,12/22/2020 18:07:26,nancy henderson,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,730.00,0,10950.00,17,1,0,0
TSL-86215-17,12/22/2020 18:24:14,jean-paul pilon,Toronto,1,0,0,1,0,0,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,9176.00,3,0,0,0
CEL-77739-18,12/22/2020 19:31:29,lisa del vecchio,Mississauga,1,0,0,1,0,0,Postponement of eviction,14,1350.00,1350.00,0,6750.00,6,1,0,0
CEL-77833-18,12/22/2020 19:46:13,jitewa edu,Mississauga,0,1,0,1,0,0,No relief,5,1000.00,1000.00,0,3000.00,3,0,0,0
CEL-77933-18,12/22/2020 20:11:21,avril cardoso,Mississauga,0,1,0,1,0,0,No relief,66,905.00,905.00,0,2715.00,3,0,0,0
CEL-78005-18-RV,12/22/2020 20:33:55,avril cardoso,Orangeville,0,1,0,1,0,0,No relief,108,1595.9445741324917,1100.00,0,5275.23,5,1,0,0
TEL-89489-18,1/14/2021 14:39:09,shelby whittick,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1125.63,0,766.03,4,1,0,0
CEL-78138-18,12/23/2020 12:52:08,lisa del vecchio,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,4600.00,13,1,0,0
TSL-86427-17-RV,12/23/2020 18:46:05,nancy henderson,Toronto,1,1,0,1,0,0,Payment plan,6.306049004594181,1595.9445741324917,500.00,0,980.00,8,0,0,0
TSL-87859-17,12/23/2020 19:00:33,renee lang,Toronto,1,1,1,1,0,0,Full relief,60,1198.76,1365.9816966067863,0,1198.76,1,0,0,0
CEL-78307-18,12/23/2020 19:21:40,alex brkic,Mississauga,0,1,0,1,0,0,Postponement of eviction,15,850.00,356.30,0,1700,2,0,0,0
CEL-78365-18,12/23/2020 19:35:15,lisa del vecchio,Mississauga,1,1,0,1,0,0,Postponement of eviction,53,1595.9445741324917,2000.00,0,6764.00,6,1,0,0
CEL-78430-18,12/23/2020 19:47:40,alex brkic,Barrie,1,0,0,0,0,0,No relief,46,1595.9445741324917,1528.02,0,4407.12,3,0,1,0
CEL-78549-18,12/23/2020 19:59:45,alex brkic,Barrie,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1550.00,0,4709.50,2,0,0,0
TEL-89525-18,1/14/2021 14:44:26,ruth carey,Whitby ,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1950.00,0,4850.00,3,1,0,0
TEL-89565-18,1/14/2021 14:51:54,elana rose,Whitby ,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1350.00,0,10478.55,11.5,0,0,0
TEL-89604-18,1/14/2021 14:56:52,elana rose,Whitby,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1050.00,0,5325.00,5,0,0,0
TEL-89637-18,1/14/2021 15:01:08,elana rose,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,854.12,0,966.67,6,1,0,0
TEL-89644-18,1/14/2021 15:03:49,laura hartslief,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1295.30,0,4982.52,4,0,0,0
TEL-94512-18,12/24/2020 6:25:32,jim mcmaster,Whitby,0,1,0,1,0,0,No relief; rent abatement due to maintenance repairs,6.306049004594181,1725.00,1365.9816966067863,0,8577.61,5,0,0,0
TEL-94597-18,12/24/2020 6:36:23,laura hartslief,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1800.00,0,8897.79,5,1,0,0
TEL-94661-18,12/24/2020 6:53:55,jim mcmaster,Whitby,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1193.00,0,2431.69,2,0,0,0
TEL-94869-18,12/24/2020 7:02:58,laura hartslief,Whitby,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1700.00,0,4438.61,2.6,0,0,1
TEL-94870-18,12/24/2020 7:09:35,laura hartslief,Whitby ,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1550.00,0,3100.00,2,0,0,0
TEL-94962-18,12/24/2020 7:19:12,petar guzina,Burlington,0,1,0,1,0,0,No relief,24,3000.00,2900,0,17072.60,11,1,0,0
TEL-95255-18,12/24/2020 7:24:39,ruth carey,Toronto,1,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1200.00,0,4122.92,6,1,0,0
TEL-95255-18-AM   ,12/24/2020 7:30:46,ruth carey,Toronto,1,1,0,0,0,0,No relief,95255,1595.9445741324917,1200.00,0,1201.92,6,0,0,0
TEL-95457-18,12/24/2020 7:41:49,laura hartslief,Toronto,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1100.00,0,3300.00,4,0,0,0
TEL-95691-18-IN,12/24/2020 7:50:05,jim mcmaster,Belleville,1,1,1,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,13113.52,3,0,0,0
TEL-96002-18,12/24/2020 8:04:24,ruth carey,Cobourg,1,0,0,1,0,0,Postponement of eviction,5,1028.10,1010.00,0,2769.08,7,1,1,0
TEL-96550-18,12/24/2020 8:32:04,shelby whittick,Belleville,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,900.00,0,5802,5,0,0,0
TEL-96690-18-SA,12/24/2020 8:41:24,ruth carey,Toronto,1,1,0,1,0,0,No relief,10,1233.00,1365.9816966067863,0,4431,6.306049004594181,0,1,1
 TSL-89992-17,12/24/2020 8:51:04,laura hartslief,Whitby,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,2450.00,0,14700.00,6,0,0,0
 TEL-94512-18,12/24/2020 9:27:25,jim mcmaster,Whitby ,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,1725.00,1365.9816966067863,0,8625.00,5,0,0,0
TET-89650-18 / TET-89650-18,12/24/2020 10:06:45,ruth carey,Toronto,0,1,0,1,0,0,No relief,34,750.00,500.00,0,5443.84,6.306049004594181,0,0,0
TNL-00253-17,12/24/2020 10:10:55,sylvia watson,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1175.00,0,5240.342916006339,3,1,0,0
 TNL-00793-18  TNL-01183-18,12/24/2020 10:14:38,sylvia watson,Toronto,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,750.00,0,5240.342916006339,2,0,0,0
TNL-00821-18,12/24/2020 10:23:11,neil kaufman,Toronto,1,0,0,1,0,0,Payment plan,24,1159.32,1138.83,0,1197.35,1,1,1,0
 TNL-00822-18,12/24/2020 10:27:46,neil kaufman,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,2,1,0,0
TNL-00911-18,12/24/2020 11:20:31,egya sangmuah,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,901.80,0,5240.342916006339,32,0,0,0
TNL-01248-18,12/24/2020 11:31:57,neil kaufman,Toronto,1,0,0,1,0,0,Payment plan,6,1595.9445741324917,1365.9816966067863,0,5240.342916006339,3,0,0,0
TEL-89697-18,1/14/2021 15:08:54,not listed,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1040.00,0,4060.85,7,0,0,0
TEL-89698-18,1/14/2021 15:15:38,elana rose,Toronto,1,0,0,1,0,0,Postponement of eviction,6.306049004594181,938.18,835.00,0,4692.16,11,0,0,0
CEL-87788-19,12/24/2020 15:30:14,sonia anwar-ali,Toronto,1,1,0,1,0,0,Conditional order to preserve tenancy,83,1398.79,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
CEL-79487-18,12/24/2020 15:41:18,lisa del vecchio,Mississauga,0,1,0,1,0,0,Payment plan,6.306049004594181,2200.00,2200.00,0,4400.00,2,0,0,0
EAL-83967-19,12/24/2020 15:45:29,sonia anwar-ali,Belleville,0,0,0,1,0,1,Payment plan,60,197.00,1365.9816966067863,0,2830.00,15,1,1,0
CET-70370-17,12/24/2020 15:51:37,lisa del vecchio,Barrie,1,0,0,1,0,1,No relief,6,1500.00,1500.00,0,7500.00,5,0,0,0
HOL-06021-19,12/24/2020 15:57:12,debbie mosaheb,Toronto,1,0,0,1,0,0,Payment plan,120,938.03,1365.9816966067863,0,2044.85,11,1,0,1
HOL-06092-19,12/24/2020 16:10:42,lynn mitchell,Newmarket,1,0,0,0,0,0,No relief,41,2500.00,2400.00,0,20000,8,1,0,0
TEL-01195-19-RV,12/24/2020 22:20:20,sonia anwar-ali,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TEL-02564-19-RV,12/24/2020 22:38:41,sonia anwar-ali,Peterborough,0,1,0,1,0,0,No relief,37,942.71,1365.9816966067863,0,7541.68,8,0,0,0
TNL-01365-18,12/25/2020 7:12:16,egya sangmuah,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6,0,0,0
TNL-01527-18,12/25/2020 7:23:09,debbie mosaheb,Toronto,1,1,0,1,0,0,No relief,18,1300.00,1365.9816966067863,0,5240.342916006339,7,1,0,1
 TNL-01582-18-AM,12/25/2020 7:29:39,harry cho,Newmarket,1,0,1,0,0,0,Postponement of eviction,6.306049004594181,500.00,500.00,0,5240.342916006339,3,0,0,0
TNL-01740-18,12/25/2020 7:34:18,nancy morris,Toronto,0,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,4,0,0,0
 TNL-01839-18,12/25/2020 7:38:09,harry cho,Newmarket,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,2200.00,0,5240.342916006339,4,0,0,0
 TNL-02075-18,12/25/2020 7:43:55,sylvia watson,Newmarket,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,950.00,0,5240.342916006339,3,0,0,0
 TNL-02210-18,12/25/2020 7:47:40,harry cho,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,855.00,0,5240.342916006339,4,0,0,0
 TNL-02284-18,12/25/2020 7:58:27,lynn mitchell,Toronto,1,1,1,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1900.00,0,7600.00,6.306049004594181,1,0,0
TNL-02343-18,12/25/2020 8:02:31,neil kaufman,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1368.34,0,5240.342916006339,2,1,0,0
TNL-02440-18-RV,12/25/2020 8:09:32,egya sangmuah,Not stated,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,5,0,0,0
 TNL-02453-18,12/25/2020 8:17:46,sylvia watson,Toronto,0,1,1,1,0,0,No relief,10,1595.9445741324917,2150.00,0,5240.342916006339,7,0,0,1
TNL-02875-18,12/25/2020 8:30:46,louise horton,Newmarket,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,3300.00,0,5240.342916006339,6,0,0,0
 TNL-03085-18,12/25/2020 8:34:44,sylvia watson,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1221.60,0,5240.342916006339,4,0,0,0
TEL-02811-19-RV,12/25/2020 12:16:43,sonia anwar-ali,Whitby,0,1,0,1,0,0,Rent Abatement,6.306049004594181,1650.00,1650.00,0,6981.09,6,0,0,0
TEL-03413-19,12/25/2020 12:27:41,sonia anwar-ali,Belleville,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
CET-74655-18,12/25/2020 12:41:05,david mungovan,Mississauga,1,0,1,0,0,0,Postponement of eviction,29,2500.00,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TEL-03502-19,12/25/2020 12:41:29,sonia anwar-ali,Peterborough,1,1,0,0,0,0,No relief,8,1200.00,1200.00,0,2575.00,2,0,0,0
EAL-71135-18,12/25/2020 12:58:16,margaret reynolds,by telephone,0,1,0,1,0,0,No relief,42,1500.00,1500.00,0,5320,4,0,0,0
